 ,GENG-B,Title,Country.x,Country.y,DocDate,InForce,End,GEN.ID,IEA,ECOLEX,James,Xiaolei,Frederic,Google in English,Download Treaty,Amended by,Suspended by,Amends,Supersedes,Lineage,Sequence,Secretariat,Website,AdoptPlace,FullText,DocLangs,Keywords,Data,Articles..etc.,Issue,enabledByTreaty,searchDate,obsolete,abstract,region,subject,officialPublication,Form,Type,Mutuality,Subject,Target,Species,Area
?,GENG-245,Statute Of The Yugoslav-Albanian Water Economy Commission,ALB,YUG,1956-12-05,NA,NA,,IEA-155,NA,,,Listed in International Freshwater Treaties Database | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Statute+Of+The+Yugoslav-Albanian+Water+Economy+Commission+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVebHMoWdsgH3zIH4Bw,Yes,,,,,Not Yet Assigned,100,Secretariat not yet identified,NA,NA,NA,NA,NA,,,Water,NA,NA,NA,NA,NA,NA,NA,,,,,,,
?,GENG-1469,"Bilateral Agreement between Jordan and United Arab Emirates in sea navigation, sea commercial transportation and ports",ARE,JOR,1998-07-23,NA,NA,,NA,TRE-150096,,,Not listed in UN Treaty Collection,"http://www.google.ch/search?q=Bilateral+Agreement+between+Jordan+and+United+Arab+Emirates+in+sea+navigation,+sea+commercial+transportation+and+ports+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVZy0N8G-sgGUoYEQ",Yes,,,,,NA,NA,NA,www.mot.gov.jo,Abu Dhabi,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-150096.pdf,Arabic,certification | disasters | dispute settlement | institution | international agreement-text | navigation | offences/penalties | territorial sea,NA,NA,OCEAN,NA,23/7/1998,FALSE,"This Agreement is composed of 21 articles. Article 1 deals with Agreements objectives which are: (a) development of commercial and economic relationship in navigation transportation; (b) regulating the sea activities and relationships between both Countries; (c) encouragement of sea transportation companies in both Countries to collaborate and participate in the fleets of both Parties; (d) facilitation of the development of sea transportation; (e) coordination in sea inspection, salvaging operations and exchange of information concerning security and saving measures as well as pollution control; (f) cooperation between both Countries in unification their positions in international and regional organizations and conferences; (g) cooperation and coordination in sea qualification and training; and (h) cooperation in sea ports exploitation and ship maintenance. Article 2 contains definitions and terms. Article 3 provides for the reciprocal recognition of ship nationality, documents, certificates, measures and load capacity. Article 4 refers to the reciprocal recognition and facilitations to ships of both Countries concerning loading leaving and the right to stay in the territorial waters. Article 5 defines taxes and fees for port services. Article 6 addresses the reciprocal recognition of the crew travel documents and Navigation Register. Article 7 pertains to recognized rights of crews holders of identifying documents. Article 8 deals with sea transportation practising rights. Article 9 relates to the sea transportation companies representation. Article 10 deals with the joint investment. Article 11 provides for payment and settlement. Article 12 defines measures and steps to be taken in case of sea accidents. Article 13 concers with the dispute settlement on the board of ships. Article 14 concerns with the qualification in trade sea. Article 15 refers to the reciprocal recognition of qualifications and certificates. Article 15 encourages the coordination in legislation related to sea activities. Article 17 encourages the cooperation between both Countries in the unification of their positions in international and regional organizations and conferences. Article 18 relates to exceptions. Article 19 decrees the establishment of the Joint Sea Committee. Article 24 refers to dispute settlement related to Agreement.",,Sea,,,,,,,,
%,GENG-437,Agreement on the Settlement of the Maritime Boundary Lines and Sovereign Rights over Islands between Qatar and Abu Dhabi,ARE,QAR,1969-03-30,1969-03-30,NA,,NA,TRE-148944,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/ARE.htm,http://www.google.ch/search?q=Agreement+on+the+Settlement+of+the+Maritime+Boundary+Lines+and+Sovereign+Rights+over+Islands+between+Qatar+and+Abu+Dhabi+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3tpRVcEBgZ6yAaCzgZAM,Yes,,,,,NA,NA,NA,NA,NA,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-148944.pdf,English,international agreement-text | maritime zone | territorial sea,NA,NA,OCEAN,NA,30/3/1969,FALSE,This Agreement establishes boundary lines between the Parties by indicating geographical co-ordinates that are connected by straight lines. Furthermore it is settled that the island Dina forms part of Abu Dhabi and the islands Shraho and Lashat form part of Qatar. The Parties declare that they have no further national claims against each other as far as islands or waters beyond the maritime boundaries here agreed are concerned. â€œHagl Elbundungâ€ shall be equally owned by the Parties and exploited in accordance with the present Agreement.,Persian Gulf,Sea,,,,,,,,
%,GENG-1581,Agreement Between Australia And The Argentine Republic Concerning Cooperation In The Peaceful Uses Of Nuclear Energy,ARG,AUS,2001-08-08,2005-01-12,NA,,IEA-1236,NA,,,Still in force | Listed under http://www.aph.gov.au/parliamentary_business/committees/house_of_representatives_committees?url=jsct/nuclearnon_proliferation/report/appendixe.htm | Listed under https://treaties.un.org/Pages/showDetails.aspx?objid=080000028005f90c,http://www.google.ch/search?q=Agreement+Between+Australia+And+The+Argentine+Republic+Concerning+Cooperation+In+The+Peaceful+Uses+Of+Nuclear+Energy+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3tpRVebvBMyOsAGsnIHIBg,Yes,,,,,Not Yet Assigned,100,Secretariat not yet identified,,Canberra,,,energy | nuclear | nuclear energy,NA,,ENERGY,,,,,,,,,,,,,,
?,GENG-1252,Tratado sobre medio ambiente,ARG,BOL,1994-03-17,NA,NA,,NA,TRE-149472,,,No end date stated in treaty text | Listed in International Freshwater Treaties Database | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Tratado+sobre+medio+ambiente+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3tpRVbLRHcK4sQHLn4C4Dg,Yes,GENG-1672,,,,NA,NA,NA,www.medioambiente.gov.ar,Buenos Aires,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149472.doc,Spanish,international agreement-text | international organization | access-to-information | soil pollution/quality | freshwater resources management | biological diversity | pollution control | climate change | ozone layer | transboundary effects | hazardous substances | hazardous waste,NA,NA,WATER | Waste | Atmos,NA,17/3/1994,FALSE,"Las Partes signatarias se comprometen a emprender acciones coordinadas o conjuntas en materia de protecciÃ³n, preservaciÃ³n, conservaciÃ³n y saneamiento del medio ambiente y a impulsar la utilizaciÃ³n racional y equilibrada de los recursos naturales, teniendo en cuenta el vÃ­nculo existente entre medio ambiente, desarrollo e integraciÃ³n. Dichas acciones deberÃ¡n ser llevadas a cabo particularmente en el campo de la protecciÃ³n de la atmÃ³sfera (cambios climÃ¡ticos, deterioro de la capa de ozono y contaminaciÃ³n atmosfÃ©rica transfronteriza), protecciÃ³n del recurso suelo, protecciÃ³n y aprovechamiento del recurso agua, protecciÃ³n de la diversidad biolÃ³gica, tratamiento de desechos y productos nocivos, efectos ambientalmente negativos de las actividades energÃ©ticas, mineras e industriales, prevenciÃ³n de la contaminaciÃ³n urbana. El artÃ­culo V establece una SubcomisiÃ³n de Medio Ambiente.",,Land &amp; soil | Water | Air &amp; atmosphere | Waste &amp; hazardous substances | Wild species &amp; ecosystems | Environment gen.,,,,,,,,
?,GENG-1314,Agreement For The Improvement Of The Resources Of The Upper Basin Of The Bermejo River And The Rio Grande De Tarija,ARG,BOL,1995-06-09,NA,NA,,IEA-962,TRE-152958,,,No end date stated in treaty text | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Agreement+For+The+Improvement+Of+The+Resources+Of+The+Upper+Basin+Of+The+Bermejo+River+And+The+Rio+Grande+De+Tarija+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3tpRVce8DcWYsgHGkYCYCg,Yes,,,,,Not Yet Assigned,100,ComisiÃƒÂ³n Binacional para el Desarrollo de la Alta Cuenca del RÃƒÂ­o Bermejo y el RÃƒÂ­o Grande de Tarija,NA,San RamÃ³n de la Nueva OrÃ¡n,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-152958.htm,Spanish,international agreement-text | basin | international basin institution | irrigation | hydropower generation | freshwater quality/freshwater pollution | effluent waste water/discharge,NA,NA,Water,NA,9/6/1995,FALSE,"El presente Acuerdo para el aprovechamiento mÃºltiple de los recursos de la alta cuenca del RÃ­o Bermejo y del RÃ­o Grande de Tarija, suscrito en San RamÃ³n de la Nueva OrÃ¡n, el 9 de junio de 1995, crea la ComisiÃ³n Binacional para el Desarrollo de la Alta Cuenca del RÃ­o Bermejo y el RÃ­o Grande de Tarija, como un mecanismo jurÃ­dico-tÃ©cnico permanente, responsable de la administraciÃ³n de la alta cuenca mencionada, que impulse el desarrollo sostenible de su zona de influencia, optimice el aprovechamiento de sus recursos naturales, genere puestos de trabajo, atraiga inversiones y permita la gestiÃ³n racional y equitativa de los recursos hÃ­dricos. Las Partes otorgarÃ¡n particular importancia a la participaciÃ³n de capitales privados para el logro de este objetivo, a cuyo efecto podrÃ¡n aplicar el procedimiento que se acuerde y que establecerÃ¡ un sistema de concesiÃ³n para la construcciÃ³n, mantenimiento y administraciÃ³n de los emprendimientos.",,Water,,,,,,,,
?,GENG-1455,Acuerdo de Alcance Parcial sobre integración energética entre la República Argentina y la República de Bolivia,ARG,BOL,1998-02-16,NA,NA,,NA,TRE-151131,,,No end date stated in treaty text | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Acuerdo+de+Alcance+Parcial+sobre+integraci%C3%B3n+energ%C3%A9tica+entre+la+Rep%C3%BAblica+Argentina+y+la+Rep%C3%BAblica+de+Bolivia+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3tpRVajWCYmXsgG0lIDoBg,Yes,,,,,,NA,,www.hidrocarburos.gov.bo,Buenos Aires,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151131.pdf,Spanish,international agreement-text | energy conservation/energy production | oil | renewable energy | hydropower generation,,,ENERGY,NA,16/2/1998,false,NA,,Energy,,,,,,,,
?,GENG-1672,Protocolo Adicional al Tratado sobre Medio Ambiente entre el Gobierno de la RepÃºblica Argentina y el Gobierno de la RepÃºblica de Bolivia,ARG,BOL,2004-07-22,2004-07-22,NA,,NA,TRE-149565,,,No end date stated in treaty text | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Protocolo+Adicional+al+Tratado+sobre+Medio+Ambiente+entre+el+Gobierno+de+la+Rep%C3%83%C2%BAblica+Argentina+y+el+Gobierno+de+la+Rep%C3%83%C2%BAblica+de+Bolivia+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3tpRVdOME4GWsAGt0oCgCA,Yes,,,GENG-1252,,NA,NA,NA,www.ambiente.gov.ar/?aplicacion=normativa&IdNorma=142&IdSeccion=6,Tarija,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149565.pdf,Spanish,international agreement-text | access-to-information | desertification | soil pollution/quality | freshwater resources management | biological diversity | hazardous substances | hazardous waste,NA,NA,WATER | Waste | Atmos,TRE-149472,22/7/2004,FALSE,"A travÃ©s del presente Protocolo Adicional, las Partes acuerdan las Ã¡reas especÃ­ficas de cooperaciÃ³n para realizar las acciones coordinadas o conjuntas previstas por el Tratado sobre Medio Ambiente, a saber: emergencias ambientales; seguridad quÃ­mica; aguas; gestiÃ³n sustentable de los recursos naturales; desertificaciÃ³n; salud y ambiente.",,Land &amp; soil | Water | Waste &amp; hazardous substances | Wild species &amp; ecosystems | Environment gen.,,,,,,,,
?,GENG-406,Agreement On Fishing Between Brazil And Argentina,ARG,BRA,1967-12-29,NA,NA,GFG-303,IEA-283,NA,,,"Listed as ""Em Tramitação"" under http://dai-mre.serpro.gov.br/lista_ato_bil?situacao=&assunto=&periodoFinal_month=00&aonde_ato=1&periodoInicial_ampm=&periodoInicial=&periodoFinal_day=00&captcha=p9uxs&periodoInicial_day=00&b_start:int=250&pais=ddf5dbde66b81b183ec8838a2a927822&periodoFinal_ampm=&palavra_chave=&periodoFinal_year=0000&periodoFinal_minute=00&periodoFinal=&form.button.Search=Pesquisar&periodoInicial_hour=00&periodoFinal_hour=00&periodoInicial_year=0000&periodoInicial_minute=00&periodoInicial_month=00 | Not listed in UN Treaty Collection",http://www.google.ch/search?q=Agreement+On+Fishing+Between+Brazil+And+Argentina+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3tpRVdqXJ8iZsgGo64HYDA,Yes,,,,,,100,Secretariat not yet identified,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,Reciprocal,Cooperation,Fisheries,Fish,
%,GENG-836,Treaty Approving The Shared Water Resources Of The Border Sections Of The Uruguay River And The Pepiri-Guazu River,ARG,BRA,1980-05-17,NA,NA,,IEA-597,TRE-152619,,,Most likely still in force | Listed under http://www.eoearth.org/view/article/156932/ | Listed under http://www.fao.org/nr/water/AQUASTAT/countries_regions/Profile_segments/BRA-IntIss_eng.stm | Listed under https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800dbdce | Not listed in Brazilian Treaty Database | Listed in International Freshwater Treaties Database,http://www.google.ch/search?q=Treaty+Approving+The+Shared+Water+Resources+Of+The+Border+Sections+Of+The+Uruguay+River+And+The+Pepiri-Guazu+River+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3tpRVbazN8G-sgGUoYEQ,Yes,,,,,Not Yet Assigned,100,No known secretariat,NA,Buenos Aires,NA,Spanish | Portuguese,international agreement-text | basin | international basin institution | navigation | hydropower generation | water supply | irrigation | flood | freshwater quality/freshwater pollution | waterworks | effluent waste water/discharge | effluent waste standards,NA,NA,Water,NA,17/5/1980,FALSE,"Mediante el presente Tratado para el aprovechamiento de los recursos hÃ­dricos compartidos de los tramos limÃ­trofes del rÃ­o Uruguay y de su afluente el rÃ­o Pepiri-Guazu, que consta de 16 artÃ­culos, las partes convienen en realizar el aprovechamiento hidroelÃ©ctrico, mejoramiento de las condiciones de navegabilidad, atenuaciÃ³n de los efectos de las crecidas extraordinarias y utilizaciÃ³n racional de sus aguas para usos consuntivos. Los proyectos y obras a ser ejecutados tendrÃ¡n presente la necesidad de preservar el medio ambiente, la fauna, la flora y la calidad de las aguas. Para la ejecuciÃ³n y operaciÃ³n de las obras de aprovechamiento hidroelÃ©ctrico se firmarÃ¡ un Convenio de CooperaciÃ³n, para cuya coordinaciÃ³n se crea una ComisiÃ³n Coordinadora.",,Water,,,,,,,,
?,GENG-900,"Agreement for Water Resources Exploitation within the Uruguai River and its effluent Pepiri-GuaÃ§u River, between the Government of the Federal Republic of Brazil and the Government of the Republic of Argentina",ARG,BRA,1983-06-29,NA,NA,,IEA-631,TRE-152622,,,The treaty is only the Argentinian governmental decree to put GENG-836 into force (see treaty text) - can be deleted | Not listed in Brazilian Treaty Database | No end date stated in treaty text | Not listed in UN Treaty Collection | Listed in International Freshwater Treaties Database,"http://www.google.ch/search?q=Agreement+for+Water+Resources+Exploitation+within+the+Uruguai+River+and+its+effluent+Pepiri-Gua%C3%83%C2%A7u+River,+between+the+Government+of+the+Federal+Republic+of+Brazil+and+the+Government+of+the+Republic+of+Argentina+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3tpRVba8IoSVsAHymIGoCQ",Yes,,,,,Not Yet Assigned,100,No known secretariat,NA,NA,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-152622.doc,Portuguese | Spanish,international agreement-text | navigation | waterworks | hydropower generation | authorization/permit,NA,NA,ENERGY | Water,NA,29/6/1983,false,"This Decree promulgates the Agreement for Water Resources Exploitation within the Uruguai River and its effluent Pepiri-GuaÃ§u River, between the Government of the Federal Republic of Brazil and the Government of the Republic of Argentina. It establishes the conditions for the creation and use of hydropower waterworks between the two Governments. It also prescribes projects on the improvement of navigation, on water flood prevention and rational use of river waters. Projects must be authorized in order to avoid environmental pollution and to guarantee the ecosystem preservation.",,Water | Energy,,,,,,,,
